votetsai,green,kmt,dpp,pfp,npp,noparty,unify,indep,statusquo,edu,taiwanese,income,age,south,dadmainland,female,econworse,inequality,pubwelf
0,0,1,0,0,0,0,0,0,1,3,0,10,25,0,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,9,51,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,3,0,6,62,0,0,0,1,1,0
1,1,0,0,0,1,0,0,1,0,5,0,6,24,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,5,0,10,64,0,1,1,1,1,0
0,0,1,0,0,0,0,0,0,1,4,0,5,38,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,5,0,10,46,0,0,1,0,1,1
0,0,0,0,1,0,0,0,1,0,5,0,8,41,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,0,,31,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,1,4,0,5,50,0,1,0,1,1,1
0,0,0,0,1,0,0,0,0,1,4,1,9,50,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,5,0,10,23,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,4,0,4,59,0,1,1,1,1,0
1,1,0,0,0,1,0,0,0,1,3,0,10,52,0,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,5,0,8,65,0,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,1,72,0,0,1,0,1,1
1,1,0,0,0,1,0,0,0,1,5,1,9,46,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,10,32,0,0,1,1,1,1
0,0,0,0,0,0,1,0,1,0,3,1,5,40,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,1,1,1,2,63,0,0,1,0,1,1
0,0,0,0,1,0,0,0,0,1,3,1,2,41,0,0,0,0,1,0
1,0,0,0,0,0,1,0,1,0,5,1,2,23,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,3,1,6,46,0,0,0,1,1,1
0,0,0,0,0,0,1,1,0,0,1,0,8,56,0,0,1,1,1,1
1,1,0,1,0,0,0,0,0,1,5,1,8,25,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,2,0,1,58,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,3,1,1,46,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,1,,63,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,2,0,6,56,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,1,1,,75,0,0,1,0,1,0
1,1,0,1,0,0,0,0,0,1,1,1,,57,0,0,1,0,1,1
1,1,0,1,0,0,0,0,1,0,3,1,4,40,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,2,0,7,63,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,3,1,6,30,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,4,1,8,24,0,0,0,1,1,1
1,1,0,1,0,0,0,0,0,1,3,0,6,37,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1,,79,0,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,5,1,10,43,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,1,1,1,60,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,5,26,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,10,31,0,0,1,0,1,1
